relative_path,category,word_arabic,word_arabic_stripped,variant,signer_id,handedness,sign_type
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 1).mp4,Diverse,البِطَاقَةُ الوَطَنِيَّةُ,البطاقة الوطنية,1,4,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 2).mp4,Diverse,البِطَاقَةُ الوَطَنِيَّةُ,البطاقة الوطنية,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/البِطَاقَةُ الوَطَنِيَّةُ (إِشَارَة 3).mp4,Diverse,البِطَاقَةُ الوَطَنِيَّةُ,البطاقة الوطنية,3,4,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَدِيدَة (إِشَارَة 1).mp4,Diverse,الجَدِيدَة,الجديدة,1,0,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَدِيدَة (إِشَارَة 2).mp4,Diverse,الجَدِيدَة,الجديدة,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَزَائِر.mp4,Diverse,الجَزَائِر,الجزائر,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الجَمْعُ.mp4,Diverse,الجَمْعُ,الجمع,,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَاجِبُ.mp4,Diverse,الحَاجِبُ,الحاجب,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَدِيثُ النَّبَوِيُّ (إِشَارَة 1).mp4,Diverse,الحَدِيثُ النَّبَوِيُّ,الحديث النبوي,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَدِيثُ النَّبَوِيُّ (إِشَارَة 2).mp4,Diverse,الحَدِيثُ النَّبَوِيُّ,الحديث النبوي,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَمْدُ لِلَّهِ.mp4,Diverse,الحَمْدُ لِلَّهِ,الحمد لله,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحُسَيْمَة (إِشَارَة 1).mp4,Diverse,الحُسَيْمَة,الحسيمة,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخُمِيسَات.mp4,Diverse,الخُمِيسَات,الخميسات,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخِطَابُ المَلَكِيُّ (إِشَارَة 1).mp4,Diverse,الخِطَابُ المَلَكِيُّ,الخطاب الملكي,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخِطَابُ المَلَكِيُّ (إِشَارَة 2).mp4,Diverse,الخِطَابُ المَلَكِيُّ,الخطاب الملكي,2,1,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الدَّارُ البَيْضَاء.mp4,Diverse,الدَّارُ البَيْضَاء,الدار البيضاء,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الرِّبَاط.mp4,Diverse,الرِّبَاط,الرباط,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّعُودِيَّة (إِشَارَة 1).mp4,Diverse,السَّعُودِيَّة,السعودية,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّعُودِيَّة (إِشَارَة 2).mp4,Diverse,السَّعُودِيَّة,السعودية,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّلَامُ عَلَيْكُمْ (إِشَارَة 1).mp4,Diverse,السَّلَامُ عَلَيْكُمْ,السلام عليكم,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّحَابَةُ.mp4,Diverse,الصَّحَابَةُ,الصحابة,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّرْفُ ( فِي اللُّغَةِ ).mp4,Diverse,الصَّرْفُ ( فِي اللُّغَةِ ),الصرف ( في اللغة ),,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصِّين.mp4,Diverse,الصِّين,الصين,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَائِش (إِشَارَة 1).mp4,Diverse,العَرَائِش,العرائش,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَبِيَّةُ.mp4,Diverse,العَرَبِيَّةُ,العربية,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العِرَاقُ (إِشَارَة 1).mp4,Diverse,العِرَاقُ,العراق,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العِرَاقُ (إِشَارَة 2).mp4,Diverse,العِرَاقُ,العراق,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الفَرَنْسِيَّةُ.mp4,Diverse,الفَرَنْسِيَّةُ,الفرنسية,,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الأُولَى.mp4,Diverse,القَنَاةُ الأُولَى,القناة الأولى,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الثَّانِيَّةُ (إِشَارَة 1).mp4,Diverse,القَنَاةُ الثَّانِيَّةُ,القناة الثانية,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الثَّانِيَّةُ (إِشَارَة 2).mp4,Diverse,القَنَاةُ الثَّانِيَّةُ,القناة الثانية,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الرِّيَاضِيَّة.mp4,Diverse,القَنَاةُ الرِّيَاضِيَّة,القناة الرياضية,,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُدْسُ.mp4,Diverse,القُدْسُ,القدس,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُنَيْطِرَةُ (إِشَارَة 1).mp4,Diverse,القُنَيْطِرَةُ,القنيطرة,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 1).mp4,Diverse,القِبْلَةُ,القبلة,1,6,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 2).mp4,Diverse,القِبْلَةُ,القبلة,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 3).mp4,Diverse,القِبْلَةُ,القبلة,3,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الكُرَةُ الأَرْضِيَّةُ (إِشَارَة 1).mp4,Diverse,الكُرَةُ الأَرْضِيَّةُ,الكرة الأرضية,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الكُرَةُ الأَرْضِيَّةُ (إِشَارَة 2).mp4,Diverse,الكُرَةُ الأَرْضِيَّةُ,الكرة الأرضية,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 1).mp4,Diverse,اللهُ,الله,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 2).mp4,Diverse,اللهُ,الله,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 3).mp4,Diverse,اللهُ,الله,3,4,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللَّيْلَة.mp4,Diverse,اللَّيْلَة,الليلة,,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسِيرَةُ الخَضْرَاءُ (إِشَارَة 1).mp4,Diverse,المَسِيرَةُ الخَضْرَاءُ,المسيرة الخضراء,1,4,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسِيرَةُ الخَضْرَاءُ (إِشَارَة 2).mp4,Diverse,المَسِيرَةُ الخَضْرَاءُ,المسيرة الخضراء,2,1,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ الحَرَامُ.mp4,Diverse,المَسْجِدُ الحَرَامُ,المسجد الحرام,,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ النَّبَوِيُّ.mp4,Diverse,المَسْجِدُ النَّبَوِيُّ,المسجد النبوي,,6,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَغْرِبُ.mp4,Diverse,المَغْرِبُ,المغرب,,6,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المُحَمَّدِيَّة.mp4,Diverse,المُحَمَّدِيَّة,المحمدية,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّاظُور.mp4,Diverse,النَّاظُور,الناظور,,4,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّمْسَا.mp4,Diverse,النَّمْسَا,النمسا,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِزَارَةُ المُكَلَّفَةُ بِإِدْمَاجِ المُعَاقِينَ.mp4,Diverse,الوِزَارَةُ المُكَلَّفَةُ بِإِدْمَاجِ المُعَاقِينَ,الوزارة المكلفة بإدماج المعاقين,,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ (إِشَارَة 1).mp4,Diverse,الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ,الولايات المتحدة الأمريكية,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ (إِشَارَة 2).mp4,Diverse,الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ,الولايات المتحدة الأمريكية,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَابَان (إِشَارَة 1).mp4,Diverse,اليَابَان,اليابان,1,4,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَابَان (إِشَارَة 2).mp4,Diverse,اليَابَان,اليابان,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَوْم.mp4,Diverse,اليَوْم,اليوم,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 1).mp4,Diverse,أَبٌ,أب,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 2).mp4,Diverse,أَبٌ,أب,2,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 3).mp4,Diverse,أَبٌ,أب,3,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 4).mp4,Diverse,أَبٌ,أب,4,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 5).mp4,Diverse,أَبٌ,أب,5,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبَدًا.mp4,Diverse,أَبَدًا,أبدا,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 1).mp4,Diverse,أَبْجَدِيَّةٌ,أبجدية,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 2).mp4,Diverse,أَبْجَدِيَّةٌ,أبجدية,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 3).mp4,Diverse,أَبْجَدِيَّةٌ,أبجدية,3,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْيَضُ (إِشَارَة 1).mp4,Diverse,أَبْيَضُ,أبيض,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْيَضُ (إِشَارَة 2).mp4,Diverse,أَبْيَضُ,أبيض,2,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 1).mp4,Diverse,أَثَاثٌ,أثاث,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 2).mp4,Diverse,أَثَاثٌ,أثاث,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 3).mp4,Diverse,أَثَاثٌ,أثاث,3,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 1).mp4,Diverse,أَثْنَاءَ,أثناء,1,0,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 2).mp4,Diverse,أَثْنَاءَ,أثناء,2,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 3).mp4,Diverse,أَثْنَاءَ,أثناء,3,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَازَ.mp4,Diverse,أَجَازَ,أجاز,,8,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 1).mp4,Diverse,أَجَّلَ,أجل,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 2).mp4,Diverse,أَجَّلَ,أجل,2,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 3).mp4,Diverse,أَجَّلَ,أجل,3,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْدَادٌ (إِشَارَة 1).mp4,Diverse,أَجْدَادٌ,أجداد,1,2,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْدَادٌ (إِشَارَة 2).mp4,Diverse,أَجْدَادٌ,أجداد,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 1).mp4,Diverse,أَجْنَبِي,أجنبي,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 2).mp4,Diverse,أَجْنَبِي,أجنبي,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 3).mp4,Diverse,أَجْنَبِي,أجنبي,3,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 4).mp4,Diverse,أَجْنَبِي,أجنبي,4,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 1).mp4,Diverse,أَجْهَشَ (بِالْبُكَاءِ),أجهش (بالبكاء),1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 2).mp4,Diverse,أَجْهَشَ (بِالْبُكَاءِ),أجهش (بالبكاء),2,0,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 3).mp4,Diverse,أَجْهَشَ (بِالْبُكَاءِ),أجهش (بالبكاء),3,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 1).mp4,Diverse,أَحَبَّ,أحب,1,2,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 2).mp4,Diverse,أَحَبَّ,أحب,2,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 3).mp4,Diverse,أَحَبَّ,أحب,3,6,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 4).mp4,Diverse,أَحَبَّ,أحب,4,6,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 5).mp4,Diverse,أَحَبَّ,أحب,5,4,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَسَّ (إِشَارَة 1).mp4,Diverse,أَحَسَّ,أحس,1,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَسَّ (إِشَارَة 2).mp4,Diverse,أَحَسَّ,أحس,2,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْضَرَ.mp4,Diverse,أَحْضَرَ,أحضر,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ (إِشَارَة 1).mp4,Diverse,أَحْمَرُ,أحمر,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ (إِشَارَة 2).mp4,Diverse,أَحْمَرُ,أحمر,2,5,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ الشِّفَاهِ.mp4,Diverse,أَحْمَرُ الشِّفَاهِ,أحمر الشفاه,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 1).mp4,Diverse,أَحْمَقُ,أحمق,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 2).mp4,Diverse,أَحْمَقُ,أحمق,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 3).mp4,Diverse,أَحْمَقُ,أحمق,3,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْوَلُ (إِشَارَة 1).mp4,Diverse,أَحْوَلُ,أحول,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْوَلُ (إِشَارَة 2).mp4,Diverse,أَحْوَلُ,أحول,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْيَانًا (إِشَارَة 1).mp4,Diverse,أَحْيَانًا,أحيانا,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْيَانًا (إِشَارَة 2).mp4,Diverse,أَحْيَانًا,أحيانا,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخٌ (إِشَارَة 1).mp4,Diverse,أَخٌ,أخ,1,2,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخٌ (إِشَارَة 2).mp4,Diverse,أَخٌ,أخ,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخَذَ (إِشَارَة 1).mp4,Diverse,أَخَذَ,أخذ,1,4,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخَذَ (إِشَارَة 2).mp4,Diverse,أَخَذَ,أخذ,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأَسْنَانِ.mp4,Diverse,أَخِصَّائِيُّ الأَسْنَانِ,أخصائي الأسنان,,4,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأُذُنِ وَالأَنْفِ وَالـحَنْجَرَةِ.mp4,Diverse,أَخِصَّائِيُّ الأُذُنِ وَالأَنْفِ وَالـحَنْجَرَةِ,أخصائي الأذن والأنف والـحنجرة,,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الصَّدْرِ.mp4,Diverse,أَخِصَّائِيُّ الصَّدْرِ,أخصائي الصدر,,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العَظْمِ (إِشَارَة 1).mp4,Diverse,أَخِصَّائِيُّ العَظْمِ,أخصائي العظم,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العَظْمِ (إِشَارَة 2).mp4,Diverse,أَخِصَّائِيُّ العَظْمِ,أخصائي العظم,2,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العُيُونِ.mp4,Diverse,أَخِصَّائِيُّ العُيُونِ,أخصائي العيون,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الكَبِدِ.mp4,Diverse,أَخِصَّائِيُّ الكَبِدِ,أخصائي الكبد,,2,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ المَعِدَةِ.mp4,Diverse,أَخِصَّائِيُّ المَعِدَةِ,أخصائي المعدة,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الوِلادَةِ (إِشَارَة 1).mp4,Diverse,أَخِصَّائِيُّ الوِلادَةِ,أخصائي الولادة,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الوِلادَةِ (إِشَارَة 2).mp4,Diverse,أَخِصَّائِيُّ الوِلادَةِ,أخصائي الولادة,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرًا (إِشَارَة 1).mp4,Diverse,أَخِيرًا,أخيرا,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرًا (إِشَارَة 2).mp4,Diverse,أَخِيرًا,أخيرا,2,3,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 1).mp4,Diverse,أَخِيرٌ,أخير,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 2).mp4,Diverse,أَخِيرٌ,أخير,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 3).mp4,Diverse,أَخِيرٌ,أخير,3,1,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْبَرَ (إِشَارَة 1).mp4,Diverse,أَخْبَرَ,أخبر,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْبَرَ (إِشَارَة 2).mp4,Diverse,أَخْبَرَ,أخبر,2,1,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْضَرُ (إِشَارَة 1).mp4,Diverse,أَخْضَرُ,أخضر,1,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْضَرُ (إِشَارَة 2).mp4,Diverse,أَخْضَرُ,أخضر,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْطَأَ.mp4,Diverse,أَخْطَأَ,أخطأ,,3,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدَّى (إِشَارَة 1).mp4,Diverse,أَدَّى,أدى,1,5,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدْرَكَ (إِشَارَة 1).mp4,Diverse,أَدْرَكَ,أدرك,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدْرَكَ (إِشَارَة 2).mp4,Diverse,أَدْرَكَ,أدرك,2,6,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرَادَ (إِشَارَة 1).mp4,Diverse,أَرَادَ,أراد,1,4,left,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرَادَ (إِشَارَة 2).mp4,Diverse,أَرَادَ,أراد,2,1,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرُزٌّ (إِشَارَة 1).mp4,Diverse,أَرُزٌّ,أرز,1,2,right,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرُزٌّ (إِشَارَة 2).mp4,Diverse,أَرُزٌّ,أرز,2,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرِيكَةٌ (إِشَارَة 1).mp4,Diverse,أَرِيكَةٌ,أريكة,1,0,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرِيكَةٌ (إِشَارَة 2).mp4,Diverse,أَرِيكَةٌ,أريكة,2,1,both,lexical
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبَعَة.mp4,Diverse,أَرْبَعَة,أربعة,,4,both,lexical
