relative_path,category,word_arabic,word_arabic_stripped,variant,split
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَدِيثُ النَّبَوِيُّ (إِشَارَة 1).mp4,Diverse,الحَدِيثُ النَّبَوِيُّ,الحديث النبوي,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحَمْدُ لِلَّهِ.mp4,Diverse,الحَمْدُ لِلَّهِ,الحمد لله,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الحُسَيْمَة (إِشَارَة 1).mp4,Diverse,الحُسَيْمَة,الحسيمة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخُمِيسَات.mp4,Diverse,الخُمِيسَات,الخميسات,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الخِطَابُ المَلَكِيُّ (إِشَارَة 1).mp4,Diverse,الخِطَابُ المَلَكِيُّ,الخطاب الملكي,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الدَّارُ البَيْضَاء.mp4,Diverse,الدَّارُ البَيْضَاء,الدار البيضاء,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الرِّبَاط.mp4,Diverse,الرِّبَاط,الرباط,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّعُودِيَّة (إِشَارَة 1).mp4,Diverse,السَّعُودِيَّة,السعودية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/السَّلَامُ عَلَيْكُمْ (إِشَارَة 1).mp4,Diverse,السَّلَامُ عَلَيْكُمْ,السلام عليكم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّحَابَةُ.mp4,Diverse,الصَّحَابَةُ,الصحابة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصَّرْفُ ( فِي اللُّغَةِ ).mp4,Diverse,الصَّرْفُ ( فِي اللُّغَةِ ),الصرف ( في اللغة ),,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الصِّين.mp4,Diverse,الصِّين,الصين,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَائِش (إِشَارَة 1).mp4,Diverse,العَرَائِش,العرائش,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العَرَبِيَّةُ.mp4,Diverse,العَرَبِيَّةُ,العربية,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/العِرَاقُ (إِشَارَة 1).mp4,Diverse,العِرَاقُ,العراق,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الفَرَنْسِيَّةُ.mp4,Diverse,الفَرَنْسِيَّةُ,الفرنسية,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الأُولَى.mp4,Diverse,القَنَاةُ الأُولَى,القناة الأولى,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الثَّانِيَّةُ (إِشَارَة 1).mp4,Diverse,القَنَاةُ الثَّانِيَّةُ,القناة الثانية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القَنَاةُ الرِّيَاضِيَّة.mp4,Diverse,القَنَاةُ الرِّيَاضِيَّة,القناة الرياضية,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُدْسُ.mp4,Diverse,القُدْسُ,القدس,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القُنَيْطِرَةُ (إِشَارَة 1).mp4,Diverse,القُنَيْطِرَةُ,القنيطرة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/القِبْلَةُ (إِشَارَة 1).mp4,Diverse,القِبْلَةُ,القبلة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الكُرَةُ الأَرْضِيَّةُ (إِشَارَة 1).mp4,Diverse,الكُرَةُ الأَرْضِيَّةُ,الكرة الأرضية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللهُ (إِشَارَة 1).mp4,Diverse,اللهُ,الله,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اللَّيْلَة.mp4,Diverse,اللَّيْلَة,الليلة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسِيرَةُ الخَضْرَاءُ (إِشَارَة 1).mp4,Diverse,المَسِيرَةُ الخَضْرَاءُ,المسيرة الخضراء,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ الحَرَامُ.mp4,Diverse,المَسْجِدُ الحَرَامُ,المسجد الحرام,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَسْجِدُ النَّبَوِيُّ.mp4,Diverse,المَسْجِدُ النَّبَوِيُّ,المسجد النبوي,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المَغْرِبُ.mp4,Diverse,المَغْرِبُ,المغرب,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/المُحَمَّدِيَّة.mp4,Diverse,المُحَمَّدِيَّة,المحمدية,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّاظُور.mp4,Diverse,النَّاظُور,الناظور,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/النَّمْسَا.mp4,Diverse,النَّمْسَا,النمسا,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِزَارَةُ المُكَلَّفَةُ بِإِدْمَاجِ المُعَاقِينَ.mp4,Diverse,الوِزَارَةُ المُكَلَّفَةُ بِإِدْمَاجِ المُعَاقِينَ,الوزارة المكلفة بإدماج المعاقين,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ (إِشَارَة 1).mp4,Diverse,الوِلاَيَاتُ المُتَّحِدَةُ الأَمْرِيكِيَّةُ,الولايات المتحدة الأمريكية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَابَان (إِشَارَة 1).mp4,Diverse,اليَابَان,اليابان,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اليَوْم.mp4,Diverse,اليَوْم,اليوم,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 1).mp4,Diverse,أَبٌ,أب,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 2).mp4,Diverse,أَبٌ,أب,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبٌ (إِشَارَة 3).mp4,Diverse,أَبٌ,أب,3,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبَدًا.mp4,Diverse,أَبَدًا,أبدا,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْجَدِيَّةٌ (إِشَارَة 1).mp4,Diverse,أَبْجَدِيَّةٌ,أبجدية,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَبْيَضُ (إِشَارَة 1).mp4,Diverse,أَبْيَضُ,أبيض,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثَاثٌ (إِشَارَة 1).mp4,Diverse,أَثَاثٌ,أثاث,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَثْنَاءَ (إِشَارَة 1).mp4,Diverse,أَثْنَاءَ,أثناء,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَازَ.mp4,Diverse,أَجَازَ,أجاز,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجَّلَ (إِشَارَة 1).mp4,Diverse,أَجَّلَ,أجل,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْدَادٌ (إِشَارَة 1).mp4,Diverse,أَجْدَادٌ,أجداد,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 1).mp4,Diverse,أَجْنَبِي,أجنبي,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْنَبِي (إِشَارَة 2).mp4,Diverse,أَجْنَبِي,أجنبي,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَجْهَشَ (بِالْبُكَاءِ) (إِشَارَة 1).mp4,Diverse,أَجْهَشَ (بِالْبُكَاءِ),أجهش (بالبكاء),1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 1).mp4,Diverse,أَحَبَّ,أحب,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 2).mp4,Diverse,أَحَبَّ,أحب,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَبَّ (إِشَارَة 3).mp4,Diverse,أَحَبَّ,أحب,3,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحَسَّ (إِشَارَة 1).mp4,Diverse,أَحَسَّ,أحس,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْضَرَ.mp4,Diverse,أَحْضَرَ,أحضر,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ (إِشَارَة 1).mp4,Diverse,أَحْمَرُ,أحمر,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَرُ الشِّفَاهِ.mp4,Diverse,أَحْمَرُ الشِّفَاهِ,أحمر الشفاه,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْمَقُ (إِشَارَة 1).mp4,Diverse,أَحْمَقُ,أحمق,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْوَلُ (إِشَارَة 1).mp4,Diverse,أَحْوَلُ,أحول,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَحْيَانًا (إِشَارَة 1).mp4,Diverse,أَحْيَانًا,أحيانا,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخٌ (إِشَارَة 1).mp4,Diverse,أَخٌ,أخ,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخَذَ (إِشَارَة 1).mp4,Diverse,أَخَذَ,أخذ,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأَسْنَانِ.mp4,Diverse,أَخِصَّائِيُّ الأَسْنَانِ,أخصائي الأسنان,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الأُذُنِ وَالأَنْفِ وَالـحَنْجَرَةِ.mp4,Diverse,أَخِصَّائِيُّ الأُذُنِ وَالأَنْفِ وَالـحَنْجَرَةِ,أخصائي الأذن والأنف والـحنجرة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الصَّدْرِ.mp4,Diverse,أَخِصَّائِيُّ الصَّدْرِ,أخصائي الصدر,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العَظْمِ (إِشَارَة 1).mp4,Diverse,أَخِصَّائِيُّ العَظْمِ,أخصائي العظم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ العُيُونِ.mp4,Diverse,أَخِصَّائِيُّ العُيُونِ,أخصائي العيون,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الكَبِدِ.mp4,Diverse,أَخِصَّائِيُّ الكَبِدِ,أخصائي الكبد,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ المَعِدَةِ.mp4,Diverse,أَخِصَّائِيُّ المَعِدَةِ,أخصائي المعدة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِصَّائِيُّ الوِلادَةِ (إِشَارَة 1).mp4,Diverse,أَخِصَّائِيُّ الوِلادَةِ,أخصائي الولادة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرًا (إِشَارَة 1).mp4,Diverse,أَخِيرًا,أخيرا,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخِيرٌ (إِشَارَة 1).mp4,Diverse,أَخِيرٌ,أخير,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْبَرَ (إِشَارَة 1).mp4,Diverse,أَخْبَرَ,أخبر,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْضَرُ (إِشَارَة 1).mp4,Diverse,أَخْضَرُ,أخضر,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَخْطَأَ.mp4,Diverse,أَخْطَأَ,أخطأ,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدَّى (إِشَارَة 1).mp4,Diverse,أَدَّى,أدى,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَدْرَكَ (إِشَارَة 1).mp4,Diverse,أَدْرَكَ,أدرك,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرَادَ (إِشَارَة 1).mp4,Diverse,أَرَادَ,أراد,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرُزٌّ (إِشَارَة 1).mp4,Diverse,أَرُزٌّ,أرز,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرِيكَةٌ (إِشَارَة 1).mp4,Diverse,أَرِيكَةٌ,أريكة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبَعَة.mp4,Diverse,أَرْبَعَة,أربعة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْبِطَةُ الحِذَاءِ (إِشَارَة 1).mp4,Diverse,أَرْبِطَةُ الحِذَاءِ,أربطة الحذاء,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْكَانُ الْإِسْلاَمِ (إِشَارَة 1).mp4,Diverse,أَرْكَانُ الْإِسْلاَمِ,أركان الإسلام,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَرْنَبٌ (إِشَارَة 1).mp4,Diverse,أَرْنَبٌ,أرنب,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزَالَ (إِشَارَة 1).mp4,Diverse,أَزَالَ,أزال,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَزْرَقُ (إِشَارَة 1).mp4,Diverse,أَزْرَقُ,أزرق,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسَدٌ (إِشَارَة 1).mp4,Diverse,أَسَدٌ,أسد,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسَّسَ.mp4,Diverse,أَسَّسَ,أسس,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْفَلُ.mp4,Diverse,أَسْفَلُ,أسفل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَسْوَدُ (إِشَارَة 1).mp4,Diverse,أَسْوَدُ,أسود,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَشَاعَ.mp4,Diverse,أَشَاعَ,أشاع,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصَمُّ (إِشَارَة 1).mp4,Diverse,أَصَمُّ,أصم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصِيلَةُ (إِشَارَة 1).mp4,Diverse,أَصِيلَةُ,أصيلة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْبَحَ (إِشَارَة 1).mp4,Diverse,أَصْبَحَ,أصبح,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْفَرُ (إِشَارَة 1).mp4,Diverse,أَصْفَرُ,أصفر,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْلَحَ.mp4,Diverse,أَصْلَحَ,أصلح,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَصْلَعُ.mp4,Diverse,أَصْلَعُ,أصلع,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَضَافَ (إِشَارَة 1).mp4,Diverse,أَضَافَ,أضاف,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَطْفَأَ (إِشَارَة 1).mp4,Diverse,أَطْفَأَ,أطفأ,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعَادَ (إِشَارَة 1).mp4,Diverse,أَعَادَ,أعاد,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْزَبُ (إِشَارَة 1).mp4,Diverse,أَعْزَبُ,أعزب,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْطَى.mp4,Diverse,أَعْطَى,أعطى,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْلَمَ.mp4,Diverse,أَعْلَمَ,أعلم,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَعْمَى (إِشَارَة 1).mp4,Diverse,أَعْمَى,أعمى,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَغْلَقَ.mp4,Diverse,أَغْلَقَ,أغلق,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَغْمَضَ.mp4,Diverse,أَغْمَضَ,أغمض,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَفْرَغَ.mp4,Diverse,أَفْرَغَ,أفرغ,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَفْغَانِسْتَان (إِشَارَة 1).mp4,Diverse,أَفْغَانِسْتَان,أفغانستان,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقَلُّ.mp4,Diverse,أَقَلُّ,أقل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَقْسَمَ (إِشَارَة 1).mp4,Diverse,أَقْسَمَ,أقسم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكَادِير.mp4,Diverse,أَكَادِير,أكادير,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكَلَ.mp4,Diverse,أَكَلَ,أكل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَكْثَرُ (إِشَارَة 1).mp4,Diverse,أَكْثَرُ,أكثر,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلَمٌ (إِشَارَة 1).mp4,Diverse,أَلَمٌ,ألم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلْعَابُ الْقُوَى (إِشَارَة 1).mp4,Diverse,أَلْعَابُ الْقُوَى,ألعاب القوى,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَلْفُ دِرْهَمٍ.mp4,Diverse,أَلْفُ دِرْهَمٍ,ألف درهم,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمَامَ (إِشَارَة 1).mp4,Diverse,أَمَامَ,أمام,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمَامَ (إِشَارَة 2).mp4,Diverse,أَمَامَ,أمام,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمَرَ.mp4,Diverse,أَمَرَ,أمر,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمَلٌ.mp4,Diverse,أَمَلٌ,أمل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمْسٌ (إِشَارَة 1).mp4,Diverse,أَمْسٌ,أمس,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمْسَكَ.mp4,Diverse,أَمْسَكَ,أمسك,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَمْعَاءٌ (إِشَارَة 1).mp4,Diverse,أَمْعَاءٌ,أمعاء,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَنَانَس (إِشَارَة 1).mp4,Diverse,أَنَانَس,أنانس,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَنَّ.mp4,Diverse,أَنَّ,أن,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَنِيقٌ (إِشَارَة 1).mp4,Diverse,أَنِيقٌ,أنيق,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَنْفٌ.mp4,Diverse,أَنْفٌ,أنف,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَنْقَذَ.mp4,Diverse,أَنْقَذَ,أنقذ,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَوَّل مَرَّة (إِشَارَة 1).mp4,Diverse,أَوَّل مَرَّة,أول مرة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَوَّلاً.mp4,Diverse,أَوَّلاً,أولا,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَوْ (إِشَارَة 1).mp4,Diverse,أَوْ,أو,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَوْقَفَ (إِشَارَة 1).mp4,Diverse,أَوْقَفَ,أوقف,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَيْضًا.mp4,Diverse,أَيْضًا,أيضا,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أَيْنَ (إِشَارَة 1).mp4,Diverse,أَيْنَ,أين,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُتُوبِيسٌ (إِشَارَة 1).mp4,Diverse,أُتُوبِيسٌ,أتوبيس,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُجْرَةٌ (إِشَارَة 1).mp4,Diverse,أُجْرَةٌ,أجرة,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُخْتٌ.mp4,Diverse,أُخْتٌ,أخت,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُذْنٌ.mp4,Diverse,أُذْنٌ,أذن,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُرْجُوحَةٌ.mp4,Diverse,أُرْجُوحَةٌ,أرجوحة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُسْبُوعٌ.mp4,Diverse,أُسْبُوعٌ,أسبوع,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُسْتَاذٌ (إِشَارَة 1).mp4,Diverse,أُسْتَاذٌ,أستاذ,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُسْطُوَانَةٌ.mp4,Diverse,أُسْطُوَانَةٌ,أسطوانة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُطْرُوحَةٌ.mp4,Diverse,أُطْرُوحَةٌ,أطروحة,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُكُورْدِيُون.mp4,Diverse,أُكُورْدِيُون,أكورديون,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُمٌّ (إِشَارَة 1).mp4,Diverse,أُمٌّ,أم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُمٌّ (إِشَارَة 2).mp4,Diverse,أُمٌّ,أم,2,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُولَمْبِيَاد.mp4,Diverse,أُولَمْبِيَاد,أولمبياد,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/أُيَّلٌ.mp4,Diverse,أُيَّلٌ,أيل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِبْتَسَمَ (إِشَارَة 1).mp4,Diverse,اِبْتَسَمَ,ابتسم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِبْنٌ (إِشَارَة 1).mp4,Diverse,اِبْنٌ,ابن,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِبْنُ الْعَمِّ (إِشَارَة 1).mp4,Diverse,اِبْنُ الْعَمِّ,ابن العم,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِتَّصَلَ.mp4,Diverse,اِتَّصَلَ,اتصل,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِتَّفَقَ.mp4,Diverse,اِتَّفَقَ,اتفق,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِتَّهَمَ.mp4,Diverse,اِتَّهَمَ,اتهم,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِتِّجَاهٌ.mp4,Diverse,اِتِّجَاهٌ,اتجاه,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِتِّحَادٌ (إِشَارَة 1).mp4,Diverse,اِتِّحَادٌ,اتحاد,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِثْنَانِ.mp4,Diverse,اِثْنَانِ,اثنان,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِجْتِمَاعٌ (إِشَارَة 1).mp4,Diverse,اِجْتِمَاعٌ,اجتماع,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِحْتَجَّ.mp4,Diverse,اِحْتَجَّ,احتج,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِحْتَفَظَ (إِشَارَة 1).mp4,Diverse,اِحْتَفَظَ,احتفظ,1,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِحْتِكَاكٌ.mp4,Diverse,اِحْتِكَاكٌ,احتكاك,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِحْذَرْ.mp4,Diverse,اِحْذَرْ,احذر,,train
data/raw/vedios-dataset/mosl_videos_dataset_Diverse/اِخْتَارَ.mp4,Diverse,اِخْتَارَ,اختار,,train
